0,1,2
65,13.0,8.0
230,1.0,7.0
137,34.0,15.0
293,71.0,72.0
1276,77.0,122.0
70,8.0,12.0
265,2.0,17.0
513,45.0,113.0
231,38.0,85.0
314,29.0,36.0
71,5.0,14.0
155,24.0,12.0
231,23.0,27.0
339,16.0,11.0
112,16.0,21.0
74,8.0,9.0
66,9.0,7.0
149,30.0,17.0
95,20.0,9.0
20,,3.0
371,42.0,91.0
79,13.0,10.0
85,4.0,16.0
85,13.0,19.0
367,52.0,60.0
110,13.0,18.0
152,22.0,10.0
328,15.0,38.0
156,27.0,64.0
225,28.0,13.0
34,2.0,1.0
564,23.0,44.0
138,37.0,16.0
243,19.0,6.0
75,16.0,2.0
74,15.0,11.0
72,17.0,6.0
124,14.0,5.0
65,9.0,3.0
63,18.0,6.0
113,1.0,6.0
67,8.0,12.0
53,9.0,4.0
284,21.0,34.0
37,1.0,3.0
32,2.0,6.0
158,27.0,54.0
140,12.0,7.0
175,21.0,7.0
76,1.0,1.0
300,39.0,67.0
87,21.0,9.0
105,15.0,22.0
286,13.0,16.0
153,27.0,29.0
136,13.0,27.0
59,12.0,12.0
285,19.0,26.0
299,11.0,19.0
36,1.0,
351,31.0,51.0
147,14.0,8.0
67,18.0,8.0
274,20.0,38.0
129,28.0,12.0
52,2.0,12.0
79,14.0,12.0
100,21.0,6.0
266,5.0,8.0
79,1.0,6.0
147,16.0,39.0
75,18.0,7.0
171,21.0,11.0
33,1.0,1.0
298,15.0,31.0
271,25.0,11.0
276,43.0,60.0
79,8.0,3.0
32,4.0,4.0
36,2.0,
123,27.0,16.0
152,30.0,17.0
423,60.0,25.0
513,55.0,55.0
463,42.0,42.0
521,78.0,26.0
597,59.0,62.0
475,60.0,29.0
424,53.0,23.0
446,59.0,25.0
563,61.0,43.0
446,64.0,32.0
457,62.0,31.0
456,62.0,20.0
473,49.0,48.0
582,48.0,63.0
538,84.0,33.0
303,41.0,8.0
223,13.0,15.0
192,20.0,15.0
167,21.0,11.0
234,30.0,5.0
244,24.0,6.0
203,33.0,10.0
208,15.0,9.0
250,26.0,11.0
204,14.0,10.0
237,22.0,19.0
288,23.0,7.0
328,34.0,6.0
233,30.0,5.0
206,25.0,19.0
791,65.0,45.0
267,20.0,26.0
508,55.0,34.0
221,11.0,34.0
269,17.0,14.0
237,12.0,13.0
243,26.0,11.0
204,15.0,14.0
242,21.0,26.0
210,21.0,19.0
211,16.0,16.0
256,15.0,12.0
76,6.0,6.0
192,31.0,25.0
51,,3.0
81,8.0,7.0
79,6.0,9.0
74,3.0,8.0
87,8.0,7.0
111,,11.0
55,,3.0
