0,1,2
2861,58.0,155.0
3063,61.0,181.0
3011,87.0,197.0
3201,68.0,197.0
235,29.0,40.0
219,38.0,44.0
265,32.0,48.0
203,36.0,48.0
210,41.0,50.0
248,27.0,41.0
290,19.0,35.0
296,22.0,33.0
399,35.0,32.0
317,17.0,31.0
103,1.0,26.0
379,32.0,33.0
387,33.0,71.0
384,32.0,80.0
409,25.0,69.0
366,38.0,78.0
386,40.0,71.0
396,21.0,73.0
770,72.0,97.0
791,63.0,98.0
850,90.0,134.0
817,83.0,125.0
786,76.0,111.0
753,74.0,108.0
553,78.0,122.0
549,69.0,118.0
525,65.0,119.0
183,55.0,61.0
189,46.0,64.0
201,48.0,64.0
312,44.0,91.0
308,40.0,91.0
323,52.0,93.0
305,48.0,65.0
308,41.0,77.0
359,45.0,100.0
562,79.0,117.0
531,95.0,143.0
520,104.0,94.0
561,81.0,145.0
538,94.0,132.0
554,113.0,104.0
574,68.0,147.0
803,72.0,121.0
621,80.0,169.0
229,51.0,113.0
558,73.0,172.0
628,85.0,180.0
295,56.0,110.0
246,57.0,95.0
302,63.0,105.0
285,56.0,118.0
272,52.0,92.0
231,64.0,93.0
415,40.0,73.0
400,61.0,53.0
578,73.0,127.0
530,69.0,59.0
403,42.0,62.0
344,50.0,56.0
197,29.0,46.0
187,33.0,42.0
195,34.0,34.0
188,34.0,46.0
192,23.0,66.0
208,29.0,50.0
432,53.0,94.0
356,48.0,93.0
435,46.0,106.0
320,61.0,106.0
313,64.0,108.0
333,57.0,103.0
438,53.0,53.0
396,45.0,102.0
406,46.0,66.0
407,49.0,88.0
424,55.0,58.0
388,41.0,99.0
179,41.0,35.0
182,44.0,32.0
201,44.0,30.0
199,40.0,23.0
193,39.0,21.0
405,50.0,86.0
429,42.0,73.0
352,58.0,79.0
435,46.0,74.0
321,59.0,74.0
379,52.0,63.0
383,35.0,67.0
382,40.0,55.0
369,25.0,67.0
322,26.0,47.0
354,32.0,46.0
390,23.0,55.0
406,44.0,126.0
355,51.0,124.0
407,36.0,94.0
366,57.0,119.0
420,40.0,91.0
432,36.0,92.0
550,38.0,77.0
556,44.0,88.0
584,36.0,139.0
236,40.0,42.0
573,45.0,132.0
546,42.0,114.0
256,32.0,45.0
275,34.0,49.0
198,24.0,75.0
205,28.0,76.0
239,23.0,64.0
528,40.0,111.0
480,39.0,84.0
418,29.0,91.0
426,46.0,71.0
495,35.0,100.0
656,33.0,129.0
1362,40.0,223.0
1006,44.0,146.0
1216,40.0,173.0
682,36.0,135.0
908,57.0,184.0
596,61.0,68.0
